,Area.of.residence,Area.of.workplace,All.categories..Method.of.travel.to.work,Work.mainly.at.or.from.home,Underground..metro..light.rail..tram,Train,Bus..minibus.or.coach,Taxi,Motorcycle..scooter.or.moped,Driving.a.car.or.van,Passenger.in.a.car.or.van,Bicycle,On.foot,Other.method.of.travel.to.work,dist,p_cycle,pc,ecp,lon_origin,lat_origin,lon_dest,lat_dest,fastest_time,fastest_distance,quietest_time,quietest_distance
910618,E02002330,E02002399,6,0,0,0,0,0,0,5,1,0,0,0,17148.7910798177,0.0097184317,0.0583105903,0.0583105903,-1.400577159,53.9291452967,-1.5026560497,53.78732075,,,,
910619,E02002330,E02002400,22,0,0,0,1,0,1,18,0,1,0,1,18814.8888774848,0.0069643529,0.1532157644,-0.8467842356,-1.400577159,53.9291452967,-1.5794874121,53.7971878792,,,,
910620,E02002330,E02002402,12,0,0,0,0,0,0,12,0,0,0,0,15405.4272232869,0.0137728192,0.1652738309,0.1652738309,-1.400577159,53.9291452967,-1.4368532119,53.7923560633,,,,
910621,E02002330,E02002403,11,0,0,0,0,0,0,10,1,0,0,0,14940.1961011981,0.0151158408,0.1662742489,0.1662742489,-1.400577159,53.9291452967,-1.3874627589,53.795090583,,,,
910622,E02002330,E02002404,4,0,0,0,0,0,0,4,0,0,0,0,17079.6494148172,0.0098537549,0.0394150196,0.0394150196,-1.400577159,53.9291452967,-1.5185093357,53.7923791487,,,,
910623,E02002330,E02002405,3,0,0,0,0,0,0,3,0,0,0,0,24269.4829562998,0.0023393799,0.0070181396,0.0070181396,-1.400577159,53.9291452967,-1.68442047,53.7897676905,,,,
910624,E02002330,E02002406,4,0,0,0,0,0,0,4,0,0,0,0,15931.8125957774,0.0123965717,0.0495862866,0.0495862866,-1.400577159,53.9291452967,-1.3695940677,53.7871307636,,,,
910625,E02002330,E02002408,4,0,0,0,0,0,0,4,0,0,0,0,22813.9345603618,0.0031298828,0.0125195312,0.0125195312,-1.400577159,53.9291452967,-1.6531563541,53.7886108817,,,,
910626,E02002330,E02002409,1,0,0,0,0,0,0,0,0,0,1,0,22244.1233594076,0.0035076904,0.0035076904,0.0035076904,-1.400577159,53.9291452967,-1.6306694818,53.782634954,,,,
910627,E02002330,E02002411,17,0,0,0,1,0,0,14,2,0,0,0,19225.44736831,0.0064153464,0.1090608894,0.1090608894,-1.400577159,53.9291452967,-1.5612145536,53.7847868814,,,,
910628,E02002330,E02002412,8,0,0,0,0,0,0,8,0,0,0,0,21741.0309805,0.0038789957,0.0310319656,0.0310319656,-1.400577159,53.9291452967,-1.6064431662,53.7762799407,,,,
910629,E02002330,E02002414,6,0,0,0,2,0,0,4,0,0,0,0,18958.097990033,0.0067677107,0.0406062642,0.0406062642,-1.400577159,53.9291452967,-1.5451628768,53.781746077,,,,
910630,E02002330,E02002415,2,0,0,0,0,0,0,2,0,0,0,0,19820.5488775545,0.005695479,0.011390958,0.011390958,-1.400577159,53.9291452967,-1.5495116861,53.7742881837,,,,
910631,E02002330,E02002416,15,0,0,0,0,0,0,13,1,0,1,0,17893.0423203973,0.0083743546,0.1256153188,0.1256153188,-1.400577159,53.9291452967,-1.4119631696,53.7684705358,,,,
910632,E02002330,E02002417,4,0,0,0,0,0,0,4,0,0,0,0,18824.1409359003,0.0069514779,0.0278059117,0.0278059117,-1.400577159,53.9291452967,-1.3368001311,53.7642201515,,,,
