id,lon_origin,lat_origin,lon_dest,lat_dest,fastest_time_in_s,fastest_distance_in_m,quietest_time_in_s,quietest_distance_in_m
100,-1.347653388,53.9226868903,-1.6243652108,53.8858954673,5704,22593,7106,28213
101,-1.347653388,53.9226868903,-1.6941821605,53.8680881823,7178,28769,8389,33193
102,-1.347653388,53.9226868903,-1.6785346758,53.8686194272,7064,28063,8292,31939
103,-1.347653388,53.9226868903,-1.6775621599,53.8561494482,7112,28123,8330,31416
104,-1.347653388,53.9226868903,-1.5253058419,53.8541243112,4239,16436,4778,19326
105,-1.347653388,53.9226868903,-1.5896573219,53.8575607216,5213,20836,5741,23664
106,-1.347653388,53.9226868903,-1.6186437517,53.8500711391,6015,23310,6543,26138
107,-1.347653388,53.9226868903,-1.5519706135,53.8492478781,4703,18518,5527,22344
108,-1.347653388,53.9226868903,-1.604851375,53.8460916699,5824,22969,6380,25936
109,-1.347653388,53.9226868903,-1.4977270094,53.8433559571,4214,16196,4742,19024
110,-1.347653388,53.9226868903,-1.645681837,53.8471890098,6936,25706,7444,28200
111,-1.347653388,53.9226868903,-1.4409663716,53.8449366971,3367,13325,3367,13325
112,-1.347653388,53.9226868903,-1.5316182735,53.8418058636,4444,17534,5112,21065
113,-1.347653388,53.9226868903,-1.5485327985,53.8394232219,4674,18672,5354,22247
114,-1.347653388,53.9226868903,-1.6698365717,53.8396256342,6827,27136,7960,30950
115,-1.347653388,53.9226868903,-1.6291347025,53.835990229,6053,23882,7047,28306
116,-1.347653388,53.9226868903,-1.4598015075,53.8357920354,3820,15171,3965,16056
117,-1.347653388,53.9226868903,-1.3697425356,53.8308039574,3326,13736,3342,13795
118,-1.347653388,53.9226868903,-1.5143714712,53.8291749544,4714,18515,5107,20881
119,-1.347653388,53.9226868903,-1.6131811509,53.8306166402,5834,23616,6708,28193
120,-1.347653388,53.9226868903,-1.5348689623,53.828844426,4806,19271,5543,22376
121,-1.347653388,53.9226868903,-1.4664255759,53.8267392129,4102,16684,4313,17929
122,-1.347653388,53.9226868903,-1.4940384943,53.827020389,4369,17385,4648,19384
123,-1.347653388,53.9226868903,-1.5512470911,53.822437902,5061,20535,5773,23950
124,-1.347653388,53.9226868903,-1.6852862057,53.8243425956,7433,28497,10037,38981
125,-1.347653388,53.9226868903,-1.479266593,53.820355325,4248,17482,4485,18861
126,-1.347653388,53.9226868903,-1.4421484083,53.8218248926,4106,17727,4657,18404
127,-1.347653388,53.9226868903,-1.530848943,53.8193025853,5061,20325,5378,22378
128,-1.347653388,53.9226868903,-1.5813803838,53.8184752721,5536,22340,6230,25716
129,-1.347653388,53.9226868903,-1.5978264373,53.8174200785,5704,23302,6679,28362
130,-1.347653388,53.9226868903,-1.5006442299,53.815492733,4526,18462,4943,20485
131,-1.347653388,53.9226868903,-1.5194226834,53.8153651938,4733,19358,5113,21751
132,-1.347653388,53.9226868903,-1.4640100536,53.814328863,4325,18646,4603,19204
133,-1.347653388,53.9226868903,-1.5711081108,53.8110117037,5676,22966,6624,27184
134,-1.347653388,53.9226868903,-1.5450850219,53.8096337814,5413,21908,6027,24992
135,-1.347653388,53.9226868903,-1.5824764839,53.8079116016,5765,23670,7014,28050
136,-1.347653388,53.9226868903,-1.4237982697,53.8075625094,4320,18905,4657,18995
137,-1.347653388,53.9226868903,-1.6102509195,53.8088425684,6344,24767,7485,30764
138,-1.347653388,53.9226868903,-1.4693922426,53.8062954254,4549,19593,5114,20915
139,-1.347653388,53.9226868903,-1.6682097793,53.8056954082,7486,28938,9035,36503
140,-1.347653388,53.9226868903,-1.5609149148,53.8046175701,5780,22949,6375,25972
141,-1.347653388,53.9226868903,-1.523831007,53.804524144,4966,20661,5412,22997
142,-1.347653388,53.9226868903,-1.5096383515,53.8031039327,4964,20302,5416,22695
143,-1.347653388,53.9226868903,-1.6932426898,53.8043391989,8010,30194,10036,39921
144,-1.347653388,53.9226868903,-1.611086847,53.8011739849,6812,25693,7640,30267
145,-1.347653388,53.9226868903,-1.460795059,53.7829085208,5012,21726,6513,24453
146,-1.347653388,53.9226868903,-1.5026560497,53.78732075,5206,21876,6206,24169
147,-1.347653388,53.9226868903,-1.5794874121,53.7971878792,6266,24868,6768,27766
148,-1.347653388,53.9226868903,-1.4368532119,53.7923560633,4785,20704,6098,22315
149,-1.347653388,53.9226868903,-1.3874627589,53.795090583,4141,17533,4536,18337
150,-1.347653388,53.9226868903,-1.5185093357,53.7923791487,5274,22003,6499,25255
151,-1.347653388,53.9226868903,-1.6531563541,53.7886108817,8013,30587,9220,35585
152,-1.347653388,53.9226868903,-1.5870002098,53.7877647368,6487,25550,7048,28422
153,-1.347653388,53.9226868903,-1.5612145536,53.7847868814,5964,24444,7376,29031
154,-1.347653388,53.9226868903,-1.6064431662,53.7762799407,7379,28514,8130,31083
155,-1.347653388,53.9226868903,-1.5451628768,53.781746077,5742,23807,7114,28022
156,-1.347653388,53.9226868903,-1.4119631696,53.7684705358,5028,21452,6075,25019
