"","ids","X.1","X","Area.of.residence","Area.of.workplace","All.categories..Method.of.travel.to.work","Work.mainly.at.or.from.home","Underground..metro..light.rail..tram","Train","Bus..minibus.or.coach","Taxi","Motorcycle..scooter.or.moped","Driving.a.car.or.van","Passenger.in.a.car.or.van","Bicycle","On.foot","Other.method.of.travel.to.work","dist","p_cycle","pc","ecp","lon_origin","lat_origin","lon_dest","lat_dest","fastest_time_in_s","fastest_distance_in_m","quietest_time_in_s","quietest_distance_in_m"
"4565",4564,4565,925526,"E02002380","E02002348",18,0,0,0,2,0,1,14,1,0,0,0,4180.9587256592,0.1300073165,2.3401316967,2.3401316967,-1.6413464562,53.8153341658,-1.604851375,53.8460916699,1968,5777,2293,6278
"4567",4566,4567,925528,"E02002380","E02002350",15,0,0,1,4,0,0,10,0,0,0,0,3555.645577233,0.1473268163,2.2099022446,2.2099022446,-1.6413464562,53.8153341658,-1.645681837,53.8471890098,1797,5215,1871,4749
"4569",4568,4569,925530,"E02002380","E02002352",1,0,0,0,0,0,0,1,0,0,0,0,7799.840538679,0.0630428319,0.0630428319,0.0630428319,-1.6413464562,53.8153341658,-1.5316182735,53.8418058636,2765,9254,2977,9761
"4571",4570,4571,925532,"E02002380","E02002354",4,0,0,0,1,0,0,3,0,0,0,0,6671.2951587293,0.0790059719,0.3160238875,0.3160238875,-1.6413464562,53.8153341658,-1.5485327985,53.8394232219,2412,8221,2618,8724
"4572",4571,4572,925533,"E02002380","E02002356",27,0,0,0,4,0,0,20,2,1,0,0,3289.4614281052,0.1553825575,4.1953290525,3.1953290525,-1.6413464562,53.8153341658,-1.6698365717,53.8396256342,1481,4727,1596,4943
"4573",4572,4573,925534,"E02002380","E02002357",20,0,0,0,8,0,0,9,2,0,1,0,2434.7197527814,0.1843504423,3.6870088467,3.6870088467,-1.6413464562,53.8153341658,-1.6291347025,53.835990229,1013,3081,1036,3009
"4576",4575,4576,925537,"E02002380","E02002360",4,0,0,0,0,0,0,4,0,0,0,0,5473.6482404194,0.1003890188,0.4015560751,0.4015560751,-1.6413464562,53.8153341658,-1.5647986011,53.834548605,1982,6896,2092,7148
"4578",4577,4578,925539,"E02002380","E02002362",10,0,0,0,3,0,0,7,0,0,0,0,2515.6902914904,0.1813890943,1.8138909432,1.8138909432,-1.6413464562,53.8153341658,-1.6131811509,53.8306166402,1341,4380,1512,4202
"4579",4578,4579,925540,"E02002380","E02002363",10,0,0,0,3,1,0,5,0,0,0,1,7168.9336910475,0.0715213307,0.7152133068,0.7152133068,-1.6413464562,53.8153341658,-1.5348689623,53.828844426,2556,9063,2713,9265
"4582",4581,4582,925543,"E02002380","E02002367",2,0,0,0,1,0,0,1,0,0,0,0,5984.2771441166,0.0906428488,0.1812856976,0.1812856976,-1.6413464562,53.8153341658,-1.5512470911,53.822437902,2159,7448,2502,8622
"4583",4582,4583,925544,"E02002380","E02002368",28,0,0,0,3,2,0,16,4,0,3,0,3061.426552713,0.1626331684,4.5537287157,4.5537287157,-1.6413464562,53.8153341658,-1.6852862057,53.8243425956,1173,3782,1854,4578
"4585",4584,4585,925546,"E02002380","E02002371",20,0,0,0,6,0,0,12,0,1,1,0,7288.4067096708,0.0698326128,1.396652256,0.396652256,-1.6413464562,53.8153341658,-1.530848943,53.8193025853,2460,9184,2807,10794
"4586",4585,4586,925547,"E02002380","E02002373",17,0,0,1,3,0,0,12,0,1,0,0,3963.5621443116,0.1357846325,2.3083387521,1.3083387521,-1.6413464562,53.8153341658,-1.5813803838,53.8184752721,1234,4517,1343,4482
"4587",4586,4587,925548,"E02002380","E02002374",32,0,0,0,8,0,0,21,2,0,1,0,2874.7655453858,0.1688193766,5.4022200497,5.4022200497,-1.6413464562,53.8153341658,-1.5978264373,53.8174200785,801,3417,892,3280
"4588",4587,4588,925549,"E02002380","E02002375",34,0,0,0,6,0,0,13,2,1,12,0,1106.8762003478,0.2404247702,8.1744421851,7.1744421851,-1.6413464562,53.8153341658,-1.6270046147,53.8205240553,248,1211,248,1211
"4592",4591,4592,925553,"E02002380","E02002381",48,0,0,0,3,0,0,23,7,1,14,0,941.0804131008,0.2485307032,11.9294737537,10.9294737537,-1.6413464562,53.8153341658,-1.6550978034,53.8176424986,222,1082,222,1082
"4594",4593,4594,925555,"E02002380","E02002383",3,0,0,0,0,0,1,2,0,0,0,0,4649.7966077267,0.1183709282,0.3551127845,0.3551127845,-1.6413464562,53.8153341658,-1.5711081108,53.8110117037,1366,5448,1532,6339
"4595",4594,4595,925556,"E02002380","E02002384",15,0,0,0,3,0,0,12,0,0,0,0,6370.1504652031,0.0839106365,1.2586595478,1.2586595478,-1.6413464562,53.8153341658,-1.5450850219,53.8096337814,1933,7559,2294,9259
"4596",4595,4596,925557,"E02002380","E02002385",25,0,0,0,3,0,0,19,2,0,1,0,3963.460830196,0.1357873839,3.3946845971,3.3946845971,-1.6413464562,53.8153341658,-1.5824764839,53.8079116016,1058,4890,1188,5269
"4598",4597,4598,925559,"E02002380","E02002387",77,0,0,0,7,0,0,31,4,1,34,0,838.3878923664,0.2536879317,19.5339707387,18.5339707387,-1.6413464562,53.8153341658,-1.6352400439,53.808721822,469,1262,490,1256
"4599",4598,4599,925560,"E02002380","E02002388",15,0,0,0,3,0,0,9,1,0,2,0,2171.1935951229,0.1943272815,2.9149092223,2.9149092223,-1.6413464562,53.8153341658,-1.6102509195,53.8088425684,687,3034,683,2997
"4602",4601,4602,925563,"E02002380","E02002391",114,0,0,0,13,0,1,68,11,2,19,0,2068.6107101005,0.1983553924,22.6125147281,20.6125147281,-1.6413464562,53.8153341658,-1.6682097793,53.8056954082,584,2191,584,2191
"4603",4602,4603,925564,"E02002380","E02002392",65,0,0,0,13,3,1,35,7,3,3,0,5428.9852979022,0.1012897696,6.5838350242,3.5838350242,-1.6413464562,53.8153341658,-1.5609149148,53.8046175701,1662,6682,2060,7969
"4604",4603,4604,925565,"E02002380","E02002393",34,0,0,0,6,0,0,25,2,0,1,0,7831.3276652574,0.0626470718,2.130000442,2.130000442,-1.6413464562,53.8153341658,-1.523831007,53.804524144,2217,10198,2475,10346
"4606",4605,4606,925567,"E02002380","E02002395",40,0,0,0,9,0,0,28,3,0,0,0,3629.7571608599,0.1451591958,5.8063678334,5.8063678334,-1.6413464562,53.8153341658,-1.6932426898,53.8043391989,1247,3938,1599,4821
"4607",4606,4607,925568,"E02002380","E02002396",59,0,0,0,7,1,0,40,5,0,6,0,2540.2656644711,0.1804997408,10.6494847072,10.6494847072,-1.6413464562,53.8153341658,-1.611086847,53.8011739849,795,2931,840,3113
"4608",4607,4608,925569,"E02002380","E02002397",23,0,0,0,0,1,0,16,3,0,3,0,1828.5296933391,0.2081120291,4.7865766685,4.7865766685,-1.6413464562,53.8153341658,-1.646020275,53.7991338977,740,2501,711,2607
"4611",4610,4611,925572,"E02002380","E02002400",88,0,0,0,26,1,0,52,7,0,2,0,4546.688691353,0.1208372666,10.633679462,10.633679462,-1.6413464562,53.8153341658,-1.5794874121,53.7971878792,1249,5279,1382,5291
"4616",4615,4616,925577,"E02002380","E02002405",10,0,0,1,2,0,0,7,0,0,0,0,4017.365858269,0.1343313223,1.3433132234,1.3433132234,-1.6413464562,53.8153341658,-1.68442047,53.7897676905,2112,4802,2132,4636
"4618",4617,4618,925579,"E02002380","E02002407",18,0,0,0,4,0,0,13,1,0,0,0,3427.9203195949,0.1511387684,2.720497831,2.720497831,-1.6413464562,53.8153341658,-1.609748378,53.7908519873,1093,4200,1156,4328
"4619",4618,4619,925580,"E02002380","E02002408",38,0,0,0,12,0,1,19,5,0,1,0,3073.3211094378,0.1622467384,6.1653760573,6.1653760573,-1.6413464562,53.8153341658,-1.6531563541,53.7886108817,1111,3840,1069,4023
"4620",4619,4620,925581,"E02002380","E02002409",14,0,0,0,1,1,0,11,1,0,0,0,3705.7103511323,0.1429707987,2.0015911816,2.0015911816,-1.6413464562,53.8153341658,-1.6306694818,53.782634954,1603,5183,1622,5484
"4621",4620,4621,925582,"E02002380","E02002410",26,0,0,0,1,0,0,22,3,0,0,0,4713.9594702869,0.1168616294,3.0384023656,3.0384023656,-1.6413464562,53.8153341658,-1.5870002098,53.7877647368,1256,5218,1301,5400
"4622",4621,4622,925583,"E02002380","E02002411",36,0,0,0,4,0,0,26,4,1,1,0,6277.5836729499,0.0854785733,3.0772286394,2.0772286394,-1.6413464562,53.8153341658,-1.5612145536,53.7847868814,1747,7374,1851,8260
"4623",4622,4623,925584,"E02002380","E02002412",19,0,0,0,3,0,0,14,1,0,1,0,4916.0116780474,0.1122333447,2.1324335499,2.1324335499,-1.6413464562,53.8153341658,-1.6064431662,53.7762799407,2029,6583,2202,7381
"4624",4623,4624,925585,"E02002380","E02002414",19,0,0,0,4,0,1,12,0,0,2,0,7355.4815160494,0.0689020666,1.309139265,1.309139265,-1.6413464562,53.8153341658,-1.5451628768,53.781746077,1956,9298,2028,9375
"4625",4624,4625,925586,"E02002380","E02002415",5,0,0,0,0,0,0,4,0,0,1,0,7579.7348321347,0.0658800397,0.3294001986,0.3294001986,-1.6413464562,53.8153341658,-1.5495116861,53.7742881837,2277,9813,2329,9768
"4628",4627,4628,925589,"E02002380","E02002419",46,0,0,0,3,0,2,33,4,3,1,0,6464.304808024,0.0823453108,3.7878842982,0.7878842982,-1.6413464562,53.8153341658,-1.5759700333,53.7720065627,1928,7666,2551,10532
"4629",4628,4629,925590,"E02002380","E02002420",16,0,0,0,2,0,0,12,1,0,0,1,7911.2927888369,0.0616531249,0.9864499992,0.9864499992,-1.6413464562,53.8153341658,-1.5544406537,53.7662624593,2403,9905,2616,10841
"4631",4630,4631,925592,"E02002380","E02002422",30,0,0,1,9,0,0,12,7,1,0,0,7260.6733791743,0.0702210272,2.1066308157,1.1066308157,-1.6413464562,53.8153341658,-1.5870012411,53.7585630809,2549,9306,2935,9836
"4632",4631,4632,925593,"E02002380","E02002424",10,0,0,0,1,0,0,9,0,0,0,0,6637.4811170812,0.0795420849,0.7954208489,0.7954208489,-1.6413464562,53.8153341658,-1.6160378671,53.7575906876,2721,9561,3048,10533
"4633",4632,4633,925594,"E02002380","E02002425",2,0,0,0,0,0,0,0,0,1,1,0,6635.5022291821,0.0795735721,0.1591471442,-0.8408528558,-1.6413464562,53.8153341658,-1.6522103299,53.7560427315,3048,9983,4042,10843
"4644",4643,4644,925677,"E02002380","E02006852",22,0,0,0,6,0,0,15,0,1,0,0,4089.3473004289,0.1324113036,2.9130486795,1.9130486795,-1.6413464562,53.8153341658,-1.5867043323,53.832819017,1620,5988,1740,6060
"4645",4644,4645,925678,"E02002380","E02006861",23,0,0,0,7,0,0,15,0,0,0,1,5033.8687549909,0.1096187815,2.5212319739,2.5212319739,-1.6413464562,53.8153341658,-1.5650215028,53.8179856472,1690,5928,1888,6172
"4646",4645,4646,925679,"E02002380","E02006875",366,0,1,12,174,3,1,123,28,12,10,2,6655.4647310837,0.0792565079,29.0078819042,17.0078819042,-1.6413464562,53.8153341658,-1.5455825172,53.7962246679,1753,8257,1799,8178
"4653",4652,4653,925814,"E02002381","E02002336",33,0,0,0,0,0,0,32,1,0,0,0,7858.5024233933,0.0623075116,2.0561478828,2.0561478828,-1.6550978034,53.8176424986,-1.6243652108,53.8858954673,3082,9888,3103,10559
"4655",4654,4655,925816,"E02002381","E02002338",8,0,0,0,0,0,0,8,0,0,0,0,6942.7503091983,0.0748310131,0.5986481049,0.5986481049,-1.6550978034,53.8176424986,-1.7105896018,53.87071637,2694,9532,2992,9216
"4656",4655,4656,925817,"E02002381","E02002339",14,0,0,0,1,0,0,12,0,0,1,0,6173.8490241675,0.0872705156,1.2217872191,1.2217872191,-1.6550978034,53.8176424986,-1.6941821605,53.8680881823,2531,8668,2833,8359
"4657",4656,4657,925818,"E02002381","E02002340",6,0,0,0,0,0,0,5,0,0,1,0,5877.7424104057,0.0925948933,0.55556936,0.55556936,-1.6550978034,53.8176424986,-1.6785346758,53.8686194272,2694,8506,2933,7874
"4659",4658,4659,925820,"E02002381","E02002342",3,0,0,0,0,0,0,3,0,0,0,0,5470.2943249896,0.1004563806,0.3013691419,0.3013691419,-1.6550978034,53.8176424986,-1.6224194963,53.8628501517,2345,6988,2374,7598
"4660",4659,4660,925821,"E02002381","E02002343",2,0,0,0,0,0,0,2,0,0,0,0,4532.3476410532,0.1211843508,0.2423687016,0.2423687016,-1.6550978034,53.8176424986,-1.6775621599,53.8561494482,2267,6755,2349,6092
"4662",4661,4662,925823,"E02002381","E02002345",5,0,0,0,2,0,0,3,0,0,0,0,6186.5268465625,0.0870495159,0.4352475796,0.4352475796,-1.6550978034,53.8176424986,-1.5896573219,53.8575607216,2468,8422,2873,9403
"4663",4662,4663,925824,"E02002381","E02002346",7,0,0,0,1,0,0,5,0,0,1,0,4332.9230159151,0.1261154644,0.8828082508,0.8828082508,-1.6550978034,53.8176424986,-1.6186437517,53.8500711391,2115,5767,2144,6377
"4664",4663,4664,925825,"E02002381","E02002347",5,0,0,0,0,0,0,3,1,0,1,0,7644.0045993111,0.06503864,0.3251932,0.3251932,-1.6550978034,53.8176424986,-1.5519706135,53.8492478781,2980,9863,3326,12053
"4665",4664,4665,925826,"E02002381","E02002348",23,0,0,0,7,0,0,14,2,0,0,0,4577.7518059574,0.1200888774,2.7620441797,2.7620441797,-1.6550978034,53.8176424986,-1.604851375,53.8460916699,2182,6337,2536,7448
"4667",4666,4667,925828,"E02002381","E02002350",27,0,0,0,4,0,0,20,1,1,1,0,3345.3386831484,0.1536557542,4.1487053638,3.1487053638,-1.6550978034,53.8176424986,-1.645681837,53.8471890098,1850,5549,2062,5022
"4671",4670,4671,925832,"E02002381","E02002354",11,0,0,0,2,0,0,7,0,0,2,0,7421.0596345113,0.0680042734,0.7480470077,0.7480470077,-1.6550978034,53.8176424986,-1.5485327985,53.8394232219,2756,9109,3086,11350
"4672",4671,4672,925833,"E02002381","E02002356",52,0,0,0,2,0,0,35,5,2,8,0,2631.267443932,0.1772442963,9.2167034059,7.2167034059,-1.6550978034,53.8176424986,-1.6698365717,53.8396256342,1384,4109,1390,4065
"4673",4672,4673,925834,"E02002381","E02002357",19,0,0,0,3,0,0,12,2,1,1,0,2662.3632854803,0.1761454048,3.3467626911,2.3467626911,-1.6550978034,53.8176424986,-1.6291347025,53.835990229,1227,3641,1279,4179
"4675",4674,4675,925836,"E02002381","E02002360",5,0,0,0,3,0,0,2,0,0,0,0,6234.5026372323,0.0862182565,0.4310912823,0.4310912823,-1.6550978034,53.8176424986,-1.5647986011,53.834548605,2326,7784,2560,9774
"4677",4676,4677,925838,"E02002381","E02002362",14,0,0,0,3,0,0,11,0,0,0,0,3114.0750113872,0.1609296757,2.2530154592,2.2530154592,-1.6550978034,53.8176424986,-1.6131811509,53.8306166402,1555,4940,1755,5372
"4681",4680,4681,925842,"E02002381","E02002368",75,0,0,0,5,0,0,46,6,0,18,0,2122.5845895525,0.1962257058,14.7169279328,14.7169279328,-1.6550978034,53.8176424986,-1.6852862057,53.8243425956,1076,3164,1745,3816
"4683",4682,4683,925844,"E02002381","E02002373",9,0,0,0,2,0,0,7,0,0,0,0,4854.2553962328,0.1136281637,1.0226534733,1.0226534733,-1.6550978034,53.8176424986,-1.5813803838,53.8184752721,1578,5405,1811,7108
"4684",4683,4684,925845,"E02002381","E02002374",21,0,0,0,7,0,0,12,2,0,0,0,3770.7491546395,0.1411231119,2.9635853507,2.9635853507,-1.6550978034,53.8176424986,-1.5978264373,53.8174200785,1145,4305,1360,5906
"4685",4684,4685,925846,"E02002381","E02002375",12,0,0,0,1,1,0,6,2,0,2,0,1877.2166095916,0.2060953968,2.4731447613,2.4731447613,-1.6550978034,53.8176424986,-1.6270046147,53.8205240553,592,2099,592,2208
"4689",4688,4689,925850,"E02002381","E02002380",42,0,0,0,2,0,0,14,4,0,21,1,941.0804131008,0.2485307032,10.4382895345,10.4382895345,-1.6550978034,53.8176424986,-1.6413464562,53.8153341658,389,1101,391,1082
"4692",4691,4692,925853,"E02002381","E02002383",3,0,0,0,0,0,0,2,0,1,0,0,5579.1440062901,0.0982930845,0.2948792534,-0.7051207466,-1.6550978034,53.8176424986,-1.5711081108,53.8110117037,1710,6336,1941,8843
"4693",4692,4693,925854,"E02002381","E02002384",27,0,0,0,3,0,0,23,1,0,0,0,7298.3584580193,0.0696937597,1.8817315122,1.8817315122,-1.6550978034,53.8176424986,-1.5450850219,53.8096337814,2277,8447,2703,11763
"4694",4693,4694,925855,"E02002381","E02002385",27,0,0,0,3,0,0,20,3,1,0,0,4902.8391937722,0.1125294129,3.0382941496,2.0382941496,-1.6550978034,53.8176424986,-1.5824764839,53.8079116016,1402,5778,1597,7773
"4696",4695,4696,925857,"E02002381","E02002387",70,0,0,0,11,2,0,36,6,1,14,0,1641.4834380406,0.2160447986,15.1231359011,14.1231359011,-1.6550978034,53.8176424986,-1.6352400439,53.808721822,788,2063,809,2057
"4697",4696,4697,925858,"E02002381","E02002388",14,0,0,0,2,1,0,10,1,0,0,0,3110.9921431741,0.1610289312,2.2544050374,2.2544050374,-1.6550978034,53.8176424986,-1.6102509195,53.8088425684,1043,4038,1039,4001
"4700",4699,4700,925861,"E02002381","E02002391",173,0,0,0,10,2,3,98,13,2,45,0,1584.9470373731,0.218501541,37.8007665945,35.8007665945,-1.6550978034,53.8176424986,-1.6682097793,53.8056954082,762,2279,811,2686
"4701",4700,4701,925862,"E02002381","E02002392",101,0,0,0,30,1,1,57,10,1,1,0,6368.8291769562,0.0839328135,8.4772141614,7.4772141614,-1.6550978034,53.8176424986,-1.5609149148,53.8046175701,2006,7570,2469,10473
"4704",4703,4704,925865,"E02002381","E02002395",75,0,0,1,12,1,0,45,6,0,10,0,2915.4244950225,0.1674521394,12.5589104568,12.5589104568,-1.6550978034,53.8176424986,-1.6932426898,53.8043391989,1425,4026,1744,4756
"4705",4704,4705,925866,"E02002381","E02002396",36,0,0,2,6,1,0,19,2,2,4,0,3428.7664098863,0.1511131951,5.4400750251,3.4400750251,-1.6550978034,53.8176424986,-1.611086847,53.8011739849,1151,3935,1159,3914
"4706",4705,4706,925867,"E02002381","E02002397",21,0,0,0,0,1,0,9,4,0,7,0,2144.1718257904,0.1953803379,4.1029870952,4.1029870952,-1.6550978034,53.8176424986,-1.646020275,53.7991338977,902,2702,973,3030
"4709",4708,4709,925870,"E02002381","E02002400",90,0,0,1,22,1,0,56,5,1,4,0,5474.6940354557,0.1003680237,9.0331221337,8.0331221337,-1.6550978034,53.8176424986,-1.5794874121,53.7971878792,1605,6283,2076,8396
"4714",4713,4714,925875,"E02002381","E02002405",13,0,0,0,4,0,0,8,1,0,0,0,3653.3634036834,0.1444754785,1.87818122,1.87818122,-1.6550978034,53.8176424986,-1.68442047,53.7897676905,2290,4890,2359,5131
"4716",4715,4716,925877,"E02002381","E02002407",18,0,0,0,0,0,0,16,0,0,2,0,4219.5307963159,0.1290082448,2.3221484062,2.3221484062,-1.6550978034,53.8176424986,-1.609748378,53.7908519873,1298,5183,1529,5423
"4717",4716,4717,925878,"E02002381","E02002408",72,0,0,0,15,3,0,42,3,1,8,0,3232.5280797998,0.1571619589,11.3156610376,10.3156610376,-1.6550978034,53.8176424986,-1.6531563541,53.7886108817,1273,4041,1331,4446
"4718",4717,4718,925879,"E02002381","E02002409",8,0,0,0,0,0,0,3,1,1,3,0,4214.3041354704,0.1291431718,1.0331453741,0.0331453741,-1.6550978034,53.8176424986,-1.6306694818,53.782634954,1765,5384,1884,5907
"4719",4718,4719,925880,"E02002381","E02002410",19,0,0,0,7,1,0,9,2,0,0,0,5582.5958697641,0.098225249,1.8662797315,1.8662797315,-1.6550978034,53.8176424986,-1.5870002098,53.7877647368,1612,6222,1620,6201
"4720",4719,4720,925881,"E02002381","E02002411",33,0,0,2,4,0,0,23,1,3,0,0,7183.1882048095,0.0713177207,2.3534847831,-0.6465152169,-1.6550978034,53.8176424986,-1.5612145536,53.7847868814,2231,10154,2260,10764
"4721",4720,4721,925882,"E02002381","E02002412",21,0,0,0,0,0,0,20,1,0,0,0,5607.9779103791,0.0977278811,2.0522855023,2.0522855023,-1.6550978034,53.8176424986,-1.6064431662,53.7762799407,2241,7501,2464,7804
"4725",4724,4725,925886,"E02002381","E02002419",41,0,0,0,9,0,0,27,2,1,0,2,7276.6918940759,0.0699964199,2.8698532141,1.8698532141,-1.6550978034,53.8176424986,-1.5759700333,53.7720065627,2140,8584,2960,13036
"4728",4727,4728,925889,"E02002381","E02002422",26,0,0,0,5,0,0,18,3,0,0,0,7958.2910127505,0.0610763226,1.5879843874,1.5879843874,-1.6550978034,53.8176424986,-1.5870012411,53.7585630809,2761,10224,3254,10637
"4730",4729,4730,925891,"E02002381","E02002424",17,0,0,0,1,0,0,16,0,0,0,0,7159.8142392808,0.0716518968,1.2180822453,1.2180822453,-1.6550978034,53.8176424986,-1.6160378671,53.7575906876,2883,9762,3310,10956
"4731",4730,4731,925892,"E02002381","E02002425",5,0,0,0,0,0,0,5,0,0,0,0,6856.1506514844,0.0761383701,0.3806918506,0.3806918506,-1.6550978034,53.8176424986,-1.6522103299,53.7560427315,3210,10184,4269,11338
"4742",4741,4742,925990,"E02002381","E02006852",34,0,0,0,2,0,0,27,2,1,2,0,4808.3590760351,0.1146759884,3.8989836051,2.8989836051,-1.6550978034,53.8176424986,-1.5867043323,53.832819017,1964,6876,2208,8686
"4743",4742,4743,925991,"E02002381","E02006861",25,0,0,0,2,0,0,19,3,0,1,0,5930.5592758632,0.0916219269,2.2905481721,2.2905481721,-1.6550978034,53.8176424986,-1.5650215028,53.8179856472,2034,6816,2356,8798
"4744",4743,4744,925993,"E02002381","E02006875",400,0,0,14,167,0,2,162,41,9,4,1,7595.5920339524,0.0656714361,26.268574426,17.268574426,-1.6550978034,53.8176424986,-1.5455825172,53.7962246679,2179,10072,2208,10682
"4752",4751,4752,926085,"E02002382","E02002341",2,0,0,0,0,0,0,2,0,0,0,0,7121.0033860638,0.0722102352,0.1444204704,0.1444204704,-1.5121470392,53.8110109367,-1.5553319814,53.869697221,2538,8605,2661,9813
"4755",4754,4755,926088,"E02002382","E02002345",2,0,0,0,0,1,0,1,0,0,0,0,7269.2851893788,0.0701001853,0.1402003705,0.1402003705,-1.5121470392,53.8110109367,-1.5896573219,53.8575607216,2643,9067,3184,9999
"4756",4755,4756,926089,"E02002382","E02002348",3,0,0,0,1,0,0,1,0,0,0,1,7243.4713822973,0.0704630316,0.2113890949,0.2113890949,-1.5121470392,53.8110109367,-1.604851375,53.8460916699,2654,9150,3133,10596
"4757",4756,4757,926090,"E02002382","E02002349",15,0,0,0,5,0,0,5,2,0,3,0,3721.8011696449,0.1425114348,2.1376715221,2.1376715221,-1.5121470392,53.8110109367,-1.4977270094,53.8433559571,1342,4399,1500,4578
"4758",4757,4758,926091,"E02002382","E02002351",3,0,0,0,1,0,0,2,0,0,0,0,6016.9928059732,0.0900516967,0.2701550902,0.2701550902,-1.5121470392,53.8110109367,-1.4409663716,53.8449366971,1988,7814,2218,8752
"4759",4758,4759,926092,"E02002382","E02002352",21,0,0,0,4,2,0,10,2,0,2,1,3658.1668796604,0.1443367482,3.0310717125,3.0310717125,-1.5121470392,53.8110109367,-1.5316182735,53.8418058636,1459,4549,1540,4726
"4760",4759,4760,926093,"E02002382","E02002353",6,0,0,0,1,0,0,2,0,0,3,0,3310.797216625,0.1547209283,0.9283255696,0.9283255696,-1.5121470392,53.8110109367,-1.5182369926,53.84054915,1215,3846,1291,4007
"4761",4760,4761,926094,"E02002382","E02002354",3,0,0,0,0,0,0,2,1,0,0,0,3966.092648922,0.1357159291,0.4071477874,0.4071477874,-1.5121470392,53.8110109367,-1.5485327985,53.8394232219,1422,4677,1552,5012
"4764",4763,4764,926097,"E02002382","E02002358",9,0,0,0,3,0,0,4,1,1,0,0,4413.2279959442,0.1241061038,1.1169549341,0.1169549341,-1.5121470392,53.8110109367,-1.4598015075,53.8357920354,1711,6259,1736,6397
"4766",4765,4766,926099,"E02002382","E02002360",1,0,0,0,0,0,0,0,1,0,0,0,4344.1503379259,0.1258325943,0.1258325943,0.1258325943,-1.5121470392,53.8110109367,-1.5647986011,53.834548605,1592,5386,1585,5516
"4767",4766,4767,926100,"E02002382","E02002361",8,0,0,0,4,1,0,3,0,0,0,0,2026.2610815835,0.2000425829,1.6003406631,1.6003406631,-1.5121470392,53.8110109367,-1.5143714712,53.8291749544,827,2397,903,2558
"4768",4767,4768,926101,"E02002382","E02002362",3,0,0,0,2,0,0,1,0,0,0,0,6999.9790124629,0.0739793997,0.2219381991,0.2219381991,-1.5121470392,53.8110109367,-1.6131811509,53.8306166402,2372,9290,2824,10580
"4769",4768,4769,926102,"E02002382","E02002363",8,0,0,0,2,1,0,4,0,0,1,0,2484.8852342473,0.1825100843,1.4600806742,1.4600806742,-1.5121470392,53.8110109367,-1.5348689623,53.828844426,994,3101,990,2981
"4770",4769,4770,926103,"E02002382","E02002364",16,0,0,0,5,1,0,8,2,0,0,0,3481.8922531329,0.1495160917,2.3922574677,2.3922574677,-1.5121470392,53.8110109367,-1.4664255759,53.8267392129,1237,4713,1317,5035
"4771",4770,4771,926104,"E02002382","E02002366",30,0,0,0,6,3,0,6,2,0,12,1,2143.3350890244,0.195413037,5.8623911095,5.8623911095,-1.5121470392,53.8110109367,-1.4940384943,53.827020389,801,3058,801,3058
"4772",4771,4772,926105,"E02002382","E02002367",12,0,0,0,1,0,0,2,0,0,9,0,2871.1305960638,0.1689421512,2.0273058138,2.0273058138,-1.5121470392,53.8110109367,-1.5512470911,53.822437902,1201,4037,1236,4113
"4774",4773,4774,926107,"E02002382","E02002369",16,0,0,0,0,3,0,8,2,0,3,0,2401.5991910663,0.1855756539,2.9692104618,2.9692104618,-1.5121470392,53.8110109367,-1.479266593,53.820355325,691,3317,715,3354
"4775",4774,4775,926108,"E02002382","E02002371",36,0,0,0,8,2,0,12,0,2,12,0,1538.6177218921,0.2205355553,7.9392799897,5.9392799897,-1.5121470392,53.8110109367,-1.530848943,53.8193025853,517,1996,517,1996
"4776",4775,4776,926109,"E02002382","E02002373",10,0,0,0,4,1,1,2,1,0,1,0,4633.5602183207,0.1187559362,1.1875593623,1.1875593623,-1.5121470392,53.8110109367,-1.5813803838,53.8184752721,1434,5583,1872,6983
"4777",4776,4777,926110,"E02002382","E02002374",5,0,0,0,1,1,0,1,0,0,2,0,5686.3208993511,0.0962085561,0.4810427807,0.4810427807,-1.5121470392,53.8110109367,-1.5978264373,53.8174200785,1713,6767,2527,9565
"4778",4777,4778,926111,"E02002382","E02002376",30,0,0,0,2,1,0,4,3,0,20,0,906.8092761405,0.2502400406,7.5072012167,7.5072012167,-1.5121470392,53.8110109367,-1.5006442299,53.815492733,245,1136,245,1136
"4779",4778,4779,926112,"E02002382","E02002377",46,0,0,0,4,1,0,9,1,0,31,0,681.3352712822,0.2617828702,12.0420120283,12.0420120283,-1.5121470392,53.8110109367,-1.5194226834,53.8153651938,134,845,134,845
"4780",4779,4780,926113,"E02002382","E02002379",2,0,0,0,1,0,0,0,0,0,1,0,3191.0540532717,0.1584710084,0.3169420167,0.3169420167,-1.5121470392,53.8110109367,-1.4640100536,53.814328863,897,3908,890,3878
"4784",4783,4784,926117,"E02002382","E02002383",9,0,0,0,0,1,0,8,0,0,0,0,3882.5170664582,0.138003502,1.2420315176,1.2420315176,-1.5121470392,53.8110109367,-1.5711081108,53.8110117037,1201,4907,1397,5351
"4785",4784,4785,926118,"E02002382","E02002384",45,0,0,0,10,2,1,21,1,0,9,1,2174.3323716125,0.1942053298,8.7392398406,8.7392398406,-1.5121470392,53.8110109367,-1.5450850219,53.8096337814,697,2827,776,3140
